<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLS_PB,D,20180628,000000,4.3046,4.3046,4.3046,4.3046,0,0
MLS_PB,D,20180629,000000,4.3046,4.3938,4.1558,4.3938,0,0
MLS_PB,D,20180702,000000,4.4533,4.4732,4.3938,4.3938,0,0
MLS_PB,D,20180703,000000,4.3938,4.3938,4.3145,4.3839,0,0
MLS_PB,D,20180704,000000,4.3938,4.3938,4.3938,4.3938,0,0
MLS_PB,D,20180705,000000,4.3938,4.3938,4.3938,4.3938,0,0
MLS_PB,D,20180706,000000,4.4732,4.4732,4.2847,4.2847,0,0
MLS_PB,D,20180709,000000,4.3938,4.3938,4.3938,4.3938,0,0
MLS_PB,D,20180710,000000,4.2351,4.3938,4.0764,4.3938,0,0
MLS_PB,D,20180711,000000,4.3938,4.3938,4.2351,4.3839,0,0
MLS_PB,D,20180712,000000,4.2351,4.3938,4.1161,4.3938,0,0
MLS_PB,D,20180713,000000,4.3145,4.5525,4.3145,4.5525,0,0
MLS_PB,D,20180716,000000,4.5525,4.5525,4.3938,4.3938,0,0
MLS_PB,D,20180717,000000,4.4236,4.4633,4.2947,4.4633,0,0
MLS_PB,D,20180718,000000,4.4533,4.4533,4.3046,4.4533,0,0
MLS_PB,D,20180720,000000,4.4633,4.4633,4.4633,4.4633,0,0
MLS_PB,D,20180723,000000,4.4434,4.4533,4.3145,4.4533,0,0
MLS_PB,D,20180724,000000,4.2351,4.5525,4.2351,4.5525,0,0
MLS_PB,D,20180725,000000,4.5525,4.6418,4.4533,4.6418,0,0
MLS_PB,D,20180726,000000,4.6914,4.6914,4.4236,4.6815,0,0
MLS_PB,D,20180727,000000,4.6815,5.0187,4.5525,5.0187,0,0
MLS_PB,D,20180730,000000,4.9889,5.1774,4.9889,5.0683,0,0
MLS_PB,D,20180731,000000,5.0584,5.0584,4.5823,5.0187,0,0
MLS_PB,D,20180801,000000,5.0187,5.0385,5.0187,5.0385,0,0
MLS_PB,D,20180802,000000,5.0683,5.0683,5.0683,5.0683,0,0
MLS_PB,D,20180803,000000,5.0881,5.1179,5.0187,5.0187,0,0
MLS_PB,D,20180806,000000,5.0187,5.0385,4.9889,5.0385,0,0
MLS_PB,D,20180807,000000,5.0584,5.1774,5.0584,5.1774,0,0
MLS_PB,D,20180808,000000,5.1774,5.4948,5.0187,5.4154,0,0
MLS_PB,D,20180809,000000,5.7328,5.7328,5.4154,5.4353,0,0
MLS_PB,D,20180810,000000,5.4154,5.4154,5.3658,5.3956,0,0
MLS_PB,D,20180813,000000,5.3956,5.4154,5.2567,5.3361,0,0
MLS_PB,D,20180814,000000,5.3559,5.3559,5.3361,5.3361,0,0
MLS_PB,D,20180816,000000,5.3361,5.3956,5.3361,5.3361,0,0
MLS_PB,D,20180817,000000,5.2567,5.2567,5.2567,5.2567,0,0
MLS_PB,D,20180820,000000,5.2071,5.227,5.2071,5.227,0,0
MLS_PB,D,20180821,000000,5.227,5.3063,5.227,5.3063,0,0
MLS_PB,D,20180822,000000,5.3063,5.3063,4.8005,5.2567,0,0
MLS_PB,D,20180823,000000,5.227,5.2567,5.227,5.227,0,0
MLS_PB,D,20180824,000000,5.227,5.227,5.227,5.227,0,0
MLS_PB,D,20180827,000000,5.227,5.2567,5.227,5.2567,0,0
MLS_PB,D,20180828,000000,5.2468,5.2468,5.2468,5.2468,0,0
MLS_PB,D,20180829,000000,5.227,5.2567,5.0187,5.2567,0,0
MLS_PB,D,20180830,000000,5.2468,5.2468,5.0584,5.2071,0,0
MLS_PB,D,20180831,000000,5.0782,5.0782,4.7608,4.7707,0,0
MLS_PB,D,20180903,000000,4.7112,4.7112,4.0864,4.0864,0,0
MLS_PB,D,20180904,000000,4.2351,4.2351,1.9539,1.9539,0,0
MLS_PB,D,20180905,000000,2.0035,2.0432,1.9043,2.0333,0,0
MLS_PB,D,20180906,000000,2.0333,2.0333,1.9341,1.9936,0,0
MLS_PB,D,20180907,000000,1.9837,1.9936,1.9142,1.944,0,0
MLS_PB,D,20180910,000000,1.944,1.9936,1.9242,1.9242,0,0
MLS_PB,D,20180911,000000,1.9242,1.9242,1.9043,1.9242,0,0
MLS_PB,D,20180912,000000,1.9242,1.9341,1.9242,1.9341,0,0
MLS_PB,D,20180913,000000,1.9341,1.9341,1.9341,1.9341,0,0
MLS_PB,D,20180914,000000,1.9539,1.9539,1.9242,1.9242,0,0
MLS_PB,D,20180917,000000,1.9539,1.9738,1.9539,1.9738,0,0
MLS_PB,D,20180918,000000,1.9738,1.9738,1.9043,1.9043,0,0
MLS_PB,D,20180919,000000,1.9638,1.9638,1.9638,1.9638,0,0
MLS_PB,D,20180920,000000,1.9242,1.9242,1.9043,1.9043,0,0
MLS_PB,D,20180921,000000,1.9043,1.9043,1.8746,1.8746,0,0
MLS_PB,D,20180924,000000,1.8647,1.944,1.8647,1.8647,0,0
MLS_PB,D,20180925,000000,1.944,1.9638,1.8845,1.9638,0,0
MLS_PB,D,20180926,000000,1.9242,1.9638,1.8845,1.9638,0,0
MLS_PB,D,20180927,000000,1.9638,1.9638,1.9638,1.9638,0,0
